Function,Counter,Kernel
classification_report,6,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
countplot,5,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
sum,5,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
detect_outliers,5,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
head,4,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
describe,3,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
tight_layout,3,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
groupby,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
mean,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
train_test_split,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
KNeighborsClassifier,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
std,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
sqrt,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
fill_between,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
legend,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
max,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
argmax,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
LogisticRegression,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
predict_proba,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
SVC,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
read_csv,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
info,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
transpose,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
isnull,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
any,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
flatten,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
items,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
boxplot,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
corr,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
figure,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
abs,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
chi2,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
Series,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
sort_values,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
StandardScaler,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
fit_transform,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
drop,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\febrianasp\classification-knn-logistic-regression-svm\classification-knn-logistic-regression-svm-utf8.py
subplot,10,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
title,8,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
distplot,8,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
axvline,8,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
mean,8,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
boxplot,6,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
heatmap,5,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
legend,4,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
append,4,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
figure,3,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
fit,3,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
argmax,3,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
isnull,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
sum,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
len,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
ylim,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
welch_test,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
crosstab,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
zeros,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
predict,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
accuracy_score,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
classification_report,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
confusion_matrix,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
round,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
max,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
plot,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
xlabel,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
ylabel,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
range,2,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
walk,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
join,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
set_style,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
read_csv,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
head,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
info,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
describe,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
value_counts,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
to_frame,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
ttest_ind,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
corr,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
set_title,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
drop,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
StandardScaler,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
transform,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
train_test_split,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
arange,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
enumerate,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
LogisticRegression,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
KNeighborsClassifier,1,D:\sample1\andrewmvd\heart-failure-clinical-data\kernels\floriancph\predict-heart-failure-w-logistic-regression-knn\predict-heart-failure-w-logistic-regression-knn-utf8.py
